"WBS_ID","기능명","시작일","종료일","소요(주)","Sprint","Label","Priority"
"407","Support Manager 배정 API (`PATCH /api/tickets/{id}/assign`)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
"408","진행 상황 업데이트 API (`PATCH /api/tickets/{id}/progress`)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P1"
"409","완료 요청/승인/반려 API (`PATCH /api/tickets/{id}/complete`)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
"410","지연(Delayed) 상태 관리 API","2026-08-03","2026-08-23","3","Sprint 4","ticket","P1"
"411","FE TicketList 백엔드 연동","2026-08-03","2026-08-23","3","Sprint 4","frontend","P0"
"412","FE TicketDetail 백엔드 연동 (상태리본, 액션버튼, 이력타임라인)","2026-08-03","2026-08-23","3","Sprint 4","frontend","P0"
"501","WebSocket config (STOMP over SockJS)","2026-08-24","2026-09-13","3","Sprint 5","chat","P0"
"502","Ticket 내 채팅 메시지 CRUD (`/ws/app/ticket-{id}`)","2026-08-24","2026-09-13","3","Sprint 5","chat","P0"
"503","채팅 메시지 WebSocket 브로드캐스팅 (RabbitMQ 연동)","2026-08-24","2026-09-13","3","Sprint 5","chat","P0"
"504","typing Indicator WebSocket 전송","2026-08-24","2026-09-13","3","Sprint 5","chat","P1"
"505","파일 첨부 메시지 지원","2026-08-24","2026-09-13","3","Sprint 5","chat","P1"
"506","알림 구독 API (새 티켓 배정, 상태 변경)","2026-08-24","2026-09-13","3","Sprint 5","notification","P0"
"507","RabbitMQ 비동기 알림 큐","2026-08-24","2026-09-13","3","Sprint 5","notification","P0"
"508","Spring @Scheduled — 마감일 만료 감지 Cron","2026-08-24","2026-09-13","3","Sprint 5","backend","P1"
"509","FE Chat 컴포넌트 WebSocket 연동","2026-08-24","2026-09-13","3","Sprint 5","frontend","P0"
"601","System Settings API (비즈니스 캘린더, 공휴일)","2026-09-14","2026-09-20","1","Sprint 6","admin","P1"
"602","대시보드 통계 API (티켓 수, 상태별 분포, SLA 준수율)","2026-09-14","2026-09-20","1","Sprint 6","dashboard","P0"
"603","공지사항 API","2026-09-14","2026-09-20","1","Sprint 6","admin","P2"
"604","FE DashboardView 백엔드 연동","2026-09-14","2026-09-20","1","Sprint 6","frontend","P0"
"605","FE SettingsView 백엔드 연동","2026-09-14","2026-09-20","1","Sprint 6","frontend","P2"
"701","통합 End-to-End 테스트 (API + FE)","2026-09-21","2026-09-27","1","Sprint 7","qa","P0"
"702","UAT (사용자 acceptance 테스트) — 피드백 반영","2026-09-21","2026-09-27","1","Sprint 7","qa","P0"
"703","스테이징 배포 (stage.nutrust.kr)","2026-09-21","2026-09-27","1","Sprint 7","deploy","P0"
"704","프로덕션 배포 (nutrust.kr)","2026-09-21","2026-09-27","1","Sprint 7","deploy","P0"
"705","성능/보안 테스트 (Rate Limiting, JWT 검증)","2026-09-21","2026-09-27","1","Sprint 7","security","P1"
