"WBS_ID","Sprint","Sprint 요약","기능명","Label","Priority","시작일","종료일"
"504","Sprint 5","Real-time Chat & Notification (3주)","typing Indicator WebSocket 전송","chat","P1","2026-08-24","2026-09-13"
"505","Sprint 5","Real-time Chat & Notification (3주)","파일 첨부 메시지 지원","chat","P1","2026-08-24","2026-09-13"
"506","Sprint 5","Real-time Chat & Notification (3주)","알림 구독 API (새 티켓 배정, 상태 변경)","notification","P0","2026-08-24","2026-09-13"
"507","Sprint 5","Real-time Chat & Notification (3주)","RabbitMQ 비동기 알림 큐","notification","P0","2026-08-24","2026-09-13"
"508","Sprint 5","Real-time Chat & Notification (3주)","Spring @Scheduled — 마감일 만료 감지 Cron","backend","P1","2026-08-24","2026-09-13"
"509","Sprint 5","Real-time Chat & Notification (3주)","FE Chat 컴포넌트 WebSocket 연동","frontend","P0","2026-08-24","2026-09-13"
"601","Sprint 6","Admin Panel & System Settings (1주)","System Settings API (비즈니스 캘린더, 공휴일)","admin","P1","2026-09-14","2026-09-20"
"602","Sprint 6","Admin Panel & System Settings (1주)","대시보드 통계 API (티켓 수, 상태별 분포, SLA 준수율)","dashboard","P0","2026-09-14","2026-09-20"
"603","Sprint 6","Admin Panel & System Settings (1주)","공지사항 API","admin","P2","2026-09-14","2026-09-20"
"604","Sprint 6","Admin Panel & System Settings (1주)","FE DashboardView 백엔드 연동","frontend","P0","2026-09-14","2026-09-20"
"605","Sprint 6","Admin Panel & System Settings (1주)","FE SettingsView 백엔드 연동","frontend","P2","2026-09-14","2026-09-20"
"701","Sprint 7","QA/UAT/Deploy (1주)","통합 End-to-End 테스트 (API + FE)","qa","P0","2026-09-21","2026-09-27"
"702","Sprint 7","QA/UAT/Deploy (1주)","UAT (사용자 acceptance 테스트) — 피드백 반영","qa","P0","2026-09-21","2026-09-27"
"703","Sprint 7","QA/UAT/Deploy (1주)","스테이징 배포 (stage.nutrust.kr)","deploy","P0","2026-09-21","2026-09-27"
"704","Sprint 7","QA/UAT/Deploy (1주)","프로덕션 배포 (nutrust.kr)","deploy","P0","2026-09-21","2026-09-27"
"705","Sprint 7","QA/UAT/Deploy (1주)","성능/보안 테스트 (Rate Limiting, JWT 검증)","security","P1","2026-09-21","2026-09-27"
